subject,mean,std,variance,max,min,range,energy
S9,0.004141983359912415,5.173566543620985e-06,2.6765790781274377e-11,0.0041547624424377325,0.004123747096181008,3.101534625672437e-05,0.005489936934266278
S9,0.0041425284378874515,6.777942056991686e-06,4.5940498527936686e-11,0.004156449473206723,0.004126200226104043,3.0249247102680753e-05,0.005491388095745529
S9,0.004143039672870087,1.3264066168335412e-05,1.7593545131798005e-10,0.004196742618511924,0.0040916315169757,0.00010511110153622362,0.005492785173256576
S9,0.004141637972297553,6.083676906359388e-06,3.701112470097054e-11,0.0041558983678596185,0.0041109243563022205,4.4974011557397976e-05,0.005489024673504541
S9,0.004142337614399328,3.3959006129763893e-06,1.1532140973213416e-11,0.00415344527640779,0.004136486211739614,1.6959064668176614e-05,0.005490871182018716
S9,0.0041418799941893986,9.358853585495737e-06,8.75881404347464e-11,0.004165650887964921,0.004105481829347772,6.0169058617149e-05,0.005489682391810177
S9,0.0041425839753836844,9.618218573243985e-06,9.251012852269557e-11,0.00416854905783876,0.004121980222829415,4.656883500934496e-05,0.0054915502410349485
S9,0.0041425125199537,7.067263183238766e-06,4.9946208901162136e-11,0.004159644942850173,0.004123960130746465,3.5684812103707435e-05,0.005491347175738256
S9,0.0041418641815844145,5.449647421933103e-06,2.969865702338211e-11,0.0041554041018317545,0.004131733092858703,2.367100897305175e-05,0.005489621951151666
S9,0.004142689297591993,8.850032510630982e-06,7.832307543922534e-11,0.004161863133113619,0.004125072133219941,3.679099989367836e-05,0.005491824940626777
S9,0.00414275144845416,1.9010197274230096e-05,3.6138760040514535e-10,0.004192414565240456,0.00409131079385443,0.00010110377138602619,0.005492080304406223
S9,0.004141513083272881,2.8454732220898245e-05,8.096717857630248e-10,0.004220714354044005,0.004059014807635383,0.00016169954640862187,0.005488940893025988
S9,0.004142091922053062,1.3130162387114446e-05,1.7240116431199494e-10,0.004171298774699869,0.004097794154522574,7.350462017729521e-05,0.005490271325408495
S9,0.004142442297035217,1.0688923468772963e-05,1.1425308492128541e-10,0.0041662771500608825,0.004114367054141407,5.191009591947512e-05,0.005491181579952424
S9,0.004142689451689717,1.5757080804760335e-05,2.4828559548774663e-10,0.004186371420462607,0.0041105466152961375,7.582480516646947e-05,0.005491879737195756
S9,0.004142238329848779,1.4105370841886724e-05,1.989614865871482e-10,0.004177619478632454,0.004091411515386527,8.62079632459262e-05,0.005490667949681596
S9,0.004143155659165072,2.207603163774969e-05,4.873511728709253e-10,0.004208309558315225,0.004067962148282329,0.0001403474100328964,0.005493192373518219
S9,0.00414158717873078,1.696695855213033e-05,2.878776825097085e-10,0.004178285595137319,0.004055636335543313,0.00012264925959400586,0.0054889703157471
S9,0.004142646692249655,1.190743551754166e-05,1.4178702060441262e-10,0.004171336163124432,0.004108214129536809,6.312203358762279e-05,0.005491732289224833
S9,0.004141646979336869,1.0555004541682864e-05,1.114081208749459e-10,0.00416495248144237,0.004111091463518777,5.386101792359283e-05,0.005489072355062746
S9,0.004143274349046934,1.2604514034715553e-05,1.5887377405134135e-10,0.004174453049949658,0.004114464420520176,5.998862942948203e-05,0.005493401985678192
S9,0.004141249041730984,3.132543753198912e-05,9.812830365705524e-10,0.0042174975535424495,0.004069900998900234,0.00014759655464221567,0.0054882959707757955
S9,0.004140631304867875,1.850007309693078e-05,3.4225270459178206e-10,0.004182619546413094,0.004091233260429274,9.138628598381968e-05,0.005486454353778059
S9,0.004144484837839866,4.2105272959290205e-05,1.7728540109763351e-09,0.004270026237424267,0.004029305883962882,0.00024072035346138585,0.005497128776030567
S9,0.004141256052342836,2.1515770462790643e-05,4.6292837860749427e-10,0.004188893799436584,0.00408772291222825,0.00010117088720833396,0.005488148678222329
S9,0.004141889860236952,1.7450326589566857e-05,3.04513898082544e-10,0.00420356702667648,0.004106958223584216,9.660880309226346e-05,0.005489777961034167
S9,0.004143389163668318,1.4386641146915074e-05,2.0697544349010987e-10,0.004183762098896419,0.004108834289736354,7.492780916006515e-05,0.005493721835855212
S9,0.004142236828517981,1.32959491660994e-05,1.7678226422749933e-10,0.004194539040515771,0.004113841479191243,8.069756132452789e-05,0.005490656872254379
S9,0.004142460444817886,1.4788781784405955e-05,2.187080666667774e-10,0.004191079477051068,0.004092242727841657,9.883674920941124e-05,0.00549126311838319
S9,0.004142061158916386,2.995459915445356e-05,8.9727801050399e-10,0.0041958816339261636,0.004072295114290461,0.0001235865196357027,0.005490421735108563
S9,0.004142468668128678,1.4673432787962794e-05,2.1530962978286158e-10,0.0041808378858105765,0.004105308286515092,7.552959929548429e-05,0.0054912838323384235
S9,0.0041428626435914846,1.5505840517472498e-05,2.4043109015329183e-10,0.00417746572151449,0.004095638693295891,8.182702821859893e-05,0.005492336420721913
S9,0.00414109397773762,1.94791698510066e-05,3.794380580843644e-10,0.004182906090664261,0.004091972121345936,9.09339693183249e-05,0.005487692406564117
S9,0.004143779331109444,1.8522500038325226e-05,3.4308300766975806e-10,0.0041834653220905816,0.0041040816037065195,7.938371838406202e-05,0.005494800072940002
